Number_of_trips,end_station_of_member_riders,member_casual,
56605,Streeter Dr & Grand Ave,casual,0.23807521
27989,DuSable Lake Shore Dr & Monroe St,casual,0.117719054
26597,Millennium Park,casual,0.111864435
24831,Michigan Ave & Oak St,casual,0.104436808
23965,DuSable Lake Shore Dr & North Blvd,casual,0.100794495
18217,Theater on the Lake,casual,0.076618958
17902,Shedd Aquarium,casual,0.075294098
15152,Wells St & Concord Ln,casual,0.063727861
13414,Clark St & Armitage Ave,casual,0.056418
13089,Clark St & Lincoln Ave,casual,0.055051081
24630,Kingsbury St & Kinzie St,member,0.122243564
22474,Clark St & Elm St,member,0.111542909
21983,Wells St & Concord Ln,member,0.109105979
20360,University Ave & 57th St,member,0.101050709
19671,Clinton St & Washington Blvd,member,0.097631066
19532,Clinton St & Madison St,member,0.096941181
19230,Ellis Ave & 60th St,member,0.095442295
18625,Wells St & Elm St,member,0.092439561
17627,Broadway & Barry Ave,member,0.087486289
17351,Loomis St & Lexington St,member,0.086116447